City,Food_type,OrderCount
Hyderabad,"Beverages  Ice Cream  Fast Food",1
Hyderabad,"Pastas,Snacks,Salads,Juices,Sweets,Bakery,Beverages,Continental,Italian",1
Hyderabad,"Indian,Desserts",1
Hyderabad,"Bakery  Pizzas  Fast Food  Beverages",1
Hyderabad,"South Indian,Beverages,Indian",1
Hyderabad,"Biryani,Chinese,Seafood",1
Hyderabad,"Fast Food  Desserts",1
Hyderabad,"Beverages,Indian,Lebanese",1
Hyderabad,"North Indian  South Indian  Healthy Food  Juices",1
Hyderabad,"Pizzas,Fast Food,Pastas,Snacks,Italian,Desserts,North Indian,Indian",1
Hyderabad,"Beverages,Desserts,Snacks",1
Hyderabad,"Healthy Food  Continental  Indian  Chinese",1
Hyderabad,"Arabian,Snacks,Fast Food",1
Hyderabad,"Fast Food  Snacks  Beverages",1
Hyderabad,"Indian,Biryani,Kebabs",1
Hyderabad,"Biryani,Chinese,Indian,Snacks,Arabian,Combo",1
Hyderabad,"Arabian,Kebabs,Biryani",1
Hyderabad,"Fast Food,Pizzas,American",1
Hyderabad,"Continental,Snacks",1
Hyderabad,"Healthy Food,Pizzas,North Indian,Thalis,Biryani",1
Hyderabad,"Italian,Bakery",1
Hyderabad,"North Indian  Chinese  Tandoor  Sweets  Beverages",1
Hyderabad,"Desserts  Ice Cream  Beverages",1
Hyderabad,"Indian,North Indian,Chinese,Seafood,Biryani,Tandoor,Ice Cream",1
Hyderabad,"Continental,Salads,Pizzas,Pastas,Italian-American",1
Hyderabad,"Bakery  Desserts  Snacks",1
Hyderabad,"Indian,Street Food",1
Hyderabad,"Italian,Ice Cream,Beverages,Fast Food,Continental",1
Hyderabad,"Indian,Chinese,Tandoor,Seafood",1
Hyderabad,"Chinese,Bakery,Beverages",1
Hyderabad,"Street Food,Chaat",1
Hyderabad,"Indian,Chinese,Kebabs,Tandoor,Biryani,Snacks,Beverages,Desserts,Arabian",1
Hyderabad,"Chinese,Bakery,Fast Food",1
Hyderabad,"Biryani,Chinese,Tandoor,Ice Cream,Beverages",1
Hyderabad,"Pizzas,Salads",1
Hyderabad,"Beverages,Juices,Indian",1
Hyderabad,"Snacks,Lebanese",1
Hyderabad,"South Indian  Combo  Sweets",1
Hyderabad,"North Indian,Seafood,Indian",1
Hyderabad,"Arabian,Fast Food,Pizzas,Snacks,Beverages",1
Hyderabad,"Fast Food,Continental,Pizzas,Snacks",1
Hyderabad,"Bakery  Snacks",1
Hyderabad,"Indian,Combo",1
Hyderabad,"Indian  Chinese  Combo",1
Hyderabad,Hyderabadi,1
Hyderabad,"Pizzas  North Indian  Fast Food",1
Hyderabad,"Bakery  Fast Food",1
Hyderabad,"Snacks  Mexican  Pizzas  Italian",1
